0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.001706609,0.0022177585,0.0031761000000000003,0.003940574,0.003691037499999999,0.002969093499999999,0.002088229999999999,0.001032591499999999,0.000817859499999999,0.0009628479999999988,0.001119450499999999,0.001187415999999999,0.0016740134999999987,0.002874345499999999,0.0022421929999999987,0.0007908574999999985,0.0006875524999999986,0.032277136500000005,0.142579224,0.23806420250000002,0.281447274,0.16168585300000005,0.016195979500000013,0.016938776500000013,0.015486339000000012,0.014319154000000011,0.013984080500000013,0.012352448500000016,0.008269259000000015,0.005372131500000015,0.004588261500000015,0.0030148135000000152,0.0010998420000000154,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17,1.5395670849294163e-17
2,0.0,0.0,0.0,0.0003377969715076216,0.0009756859652142289,0.000676157157841412,0.0030762387884731546,0.00636726538601425,0.0052648763809418665,0.00496104481525742,0.004959786461411566,0.00485745895330939,0.006420720054425834,0.00909762938313059,0.014205079609147176,0.019873222879633178,0.03374683787856156,0.07680374368387556,0.1255098819339356,0.15038175309798596,0.15767050390170873,0.1314845916601178,0.0830313216449851,0.05193224292236849,0.033737390076702733,0.02305206317261041,0.01815914198128217,0.011707582109618024,0.008972402879438318,0.0055484068428470115,0.0018971764569301816,0.00291904096388279,0.0023729559868416587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0007713986948266153,0.0007713986948266153,0.0005609626164375648,0.0005609626164375648,0.0017820161862647126,0.0017820161862647126,0.0013874144041829868,0.0027054480751934956,0.0021411720781635956,0.0010159152593082607,0.007010166653212888,0.010477965345461622,0.015142640852446175,0.023112067597915956,0.028348392284017747,0.0891395685840108,0.1443239769655238,0.16070906271854435,0.15782066870064546,0.12250045031026899,0.08133852347095044,0.04473793835706644,0.0322831955859071,0.023412511113934168,0.01729413538553205,0.01318931196632499,0.004822479809041503,0.0019364342861778478,0.0024776076460007487,0.001453700221417569,2.168404344971009e-19,2.168404344971009e-19,0.002495248666846755,0.002495248666846755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0038263445,0.0075282835,0.007274678,0.007007011499999999,0.006703062499999999,0.0063287755,0.005864370999999998,0.005307634999999999,0.004730561499999999,0.004236710999999999,0.004118436499999999,0.004038712999999999,0.004698561499999999,0.006669341999999998,0.012019481499999998,0.0279745585,0.0850959875,0.1523341195,0.1737727865,0.1420997645,0.0980749975,0.0712428625,0.0518814165,0.0319944325,0.0157913915,0.015699084500000002,0.012364938000000002,0.008242600000000003,0.007263890000000002,0.004687938000000002,0.0035210930000000025,0.004608168000000003,0.0029980020000000026,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18
5,0.004012432,0.0044184524999999995,0.006186161000000001,0.016910567499999998,0.0317127815,0.0286661035,0.026426621,0.034057455,0.0361808505,0.036748791,0.04446381400000001,0.05210744000000002,0.047153999000000016,0.03716371650000001,0.04134277850000001,0.051196035500000014,0.04868626450000002,0.06125388750000002,0.08673573700000002,0.10187980200000002,0.0785666035,0.041929448999999994,0.030497126499999996,0.02431073949999999,0.012472131499999988,0.0032670874999999894,0.0044674624999999895,0.0036064989999999896,0.0010291314999999897,0.0024839734999999898,0.00207232099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.010234470060724027,0.025215841706642667,0.024846084613628958,0.017258854367642296,0.021005904586445148,0.025526288900671122,0.032827778973255395,0.04931025436617205,0.055553453138894295,0.04606491325987083,0.045459178020912844,0.06358334358805184,0.06464000370257322,0.06173797273762966,0.06031418717577744,0.06569016082486998,0.08719090179624825,0.07377074851441427,0.03924181722398616,0.023993888144270916,0.02598850157879168,0.03442764555534402,0.022409485199211453,0.004525582358178119,0.0035704472192574586,0.007350316887113759,0.006611150687292336,0.0015441887891284988,0.00010663602300137187,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18,5.651403824080692e-18
7,0.00014570215152862035,0.0013279895372555748,0.0027448931504263415,0.0033409928783679427,0.005026771467768984,0.00551575998174712,0.007950632088434474,0.010966677462495925,0.01401703160420081,0.01681535600917281,0.017089359307655212,0.01857509442566766,0.021633276518488374,0.02673531941893394,0.0333196947657053,0.04710261866750817,0.0704023915060356,0.10537095928117414,0.13675592743809994,0.13762930114200472,0.10722573491532496,0.06965646584969074,0.04745222824712633,0.033665871106557554,0.021148065817624198,0.01300668403930872,0.00878083535053596,0.006452189401926239,0.003982224898836255,0.0022720079295672213,0.0014289942824306217,0.0011282142225168678,0.0006797215309068327,0.00033893472189313104,0.0002689291633253442,8.472499664396131e-05,2.0436871310399785e-05,1.4838927567825343e-05,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17,1.8185797377549828e-17
8,0.0,0.0,0.0,0.0038140715083096947,0.0038140715083096947,0.0,0.0034021848586699662,0.005727327375717042,0.004119187412710765,0.010498890460162282,0.024310288546806367,0.02244513237156099,0.022156090598979356,0.03268093752567331,0.03500068109768179,0.03459703444632649,0.042189904984608104,0.08594809967706005,0.13738934239188216,0.13819100078167665,0.11347188372892375,0.08662321321347627,0.05722418299992269,0.039057119932391623,0.02545566718577083,0.019029393518003933,0.016507680320233704,0.011182234556147818,0.009812129549309656,0.007730524759335414,0.002671684942032692,0.000975736612428532,0.0024750198741585144,0.0014992832617299766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.001,0.0015,0.0025,0.0035000000000000005,0.0045000000000000005,0.0055037,0.006003699999999999,0.006703699999999998,0.007203699999999998,0.008507399999999998,0.009007399999999999,0.0105611,0.017672200000000002,0.0255759,0.029937149999999996,0.048805699999999994,0.08283335,0.1302778,0.14985185,0.12308330000000002,0.12882405000000002,0.09703700000000003,0.03944440000000003,0.02833330000000003,0.016314800000000032,0.007203700000000033,0.0037037000000000346,0.0027037000000000345,0.0017037000000000345,0.0007037000000000345,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17,3.447762908503904e-17
10,0.01426439140627024,0.02070854279453073,0.03770956791439943,0.04522792817706479,0.04991916523616911,0.05689680206969122,0.05092334979966506,0.04964920998483306,0.053923210084049274,0.05539530728889955,0.051103927213502084,0.04042000678646691,0.04892043119774776,0.052885509443634605,0.04663576011636799,0.038944364046887066,0.03149247276610623,0.044064189653590984,0.0481968531812188,0.04796874405455698,0.0429890258354399,0.025266739049770257,0.014862558374609355,0.009810445625233755,0.006881476446851192,0.004697534790681969,0.0047041704254313635,0.005980793094003543,0.004200650625211471,0.0019022430453283453,0.0002235449852696315,0.0001816400948264098,0.0001816400948264098,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18,6.0986372202309624e-18
11,0.018441327,0.013372854,0.0130021855,0.023928861000000003,0.023788503000000003,0.013977283500000002,0.017434465000000003,0.023504356000000004,0.040861414500000005,0.057463381,0.051091872499999996,0.03800099999999999,0.038992374999999996,0.05195399149999999,0.060074918499999984,0.06642455199999998,0.08969014399999999,0.09800867299999999,0.0726681,0.0517849875,0.044902032999999994,0.048748404999999995,0.034372057,0.012831655499999997,0.0039012684999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.23840407800000002,0.22614196250000002,0.210191402,0.14735903650000004,0.06437163300000004,0.042044761000000035,0.038163886000000036,0.018347391000000032,0.003958303000000031,0.00401225950000003,0.00405319100000003,0.00407666050000003,0.00411533950000003,0.004213288000000029,0.00412841100000003,0.02165604350000003,0.031331421000000026,0.03214859800000003,0.020484375000000027,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17
13,0.1973684,0.2005263,0.19294734999999996,0.17563154999999997,0.12557744999999998,0.052620099999999975,0.024668949999999974,0.025418499999999976,0.025319999999999974,0.026002749999999974,0.019565199999999977,0.01980079999999998,0.01323684999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
