Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
At Work,DA,MANHATTAN,MANHATTAN,AM Peak,12,35
At Work,DA,MANHATTAN,MANHATTAN,Other,12,35
At Work,DA,MANHATTAN,NON-NYC,AM Peak,14,51
At Work,DA,MANHATTAN,NON-NYC,Other,14,51
At Work,DA,MANHATTAN,STATEN ISLAND,AM Peak,14,51
At Work,DA,MANHATTAN,STATEN ISLAND,Other,14,51
At Work,DA,MANHATTAN,WHR,AM Peak,14,51
At Work,DA,MANHATTAN,WHR,Other,14,51
At Work,DA,NON-NYC,MANHATTAN,AM Peak,12,35
At Work,DA,NON-NYC,MANHATTAN,Other,12,35
At Work,DA,NON-NYC,NON-NYC,AM Peak,14,51
At Work,DA,NON-NYC,NON-NYC,Other,14,51
At Work,DA,NON-NYC,STATEN ISLAND,AM Peak,14,51
At Work,DA,NON-NYC,STATEN ISLAND,Other,14,51
At Work,DA,NON-NYC,WHR,AM Peak,14,51
At Work,DA,NON-NYC,WHR,Other,14,51
At Work,DA,STATEN ISLAND,MANHATTAN,AM Peak,12,35
At Work,DA,STATEN ISLAND,MANHATTAN,Other,12,35
At Work,DA,STATEN ISLAND,NON-NYC,AM Peak,14,51
At Work,DA,STATEN ISLAND,NON-NYC,Other,14,51
At Work,DA,STATEN ISLAND,STATEN ISLAND,AM Peak,14,51
At Work,DA,STATEN ISLAND,STATEN ISLAND,Other,14,51
At Work,DA,STATEN ISLAND,WHR,AM Peak,14,51
At Work,DA,STATEN ISLAND,WHR,Other,14,51
At Work,DA,WHR,MANHATTAN,AM Peak,12,35
At Work,DA,WHR,MANHATTAN,Other,12,35
At Work,DA,WHR,NON-NYC,AM Peak,14,51
At Work,DA,WHR,NON-NYC,Other,14,51
At Work,DA,WHR,STATEN ISLAND,AM Peak,14,51
At Work,DA,WHR,STATEN ISLAND,Other,14,51
At Work,DA,WHR,WHR,AM Peak,14,51
At Work,DA,WHR,WHR,Other,14,51
At Work,DC,MANHATTAN,MANHATTAN,AM Peak,13,35
At Work,DC,MANHATTAN,MANHATTAN,Other,13,35
At Work,DC,MANHATTAN,NON-NYC,AM Peak,14,60
At Work,DC,MANHATTAN,NON-NYC,Other,14,60
At Work,DC,MANHATTAN,STATEN ISLAND,AM Peak,14,60
At Work,DC,MANHATTAN,STATEN ISLAND,Other,14,60
At Work,DC,MANHATTAN,WHR,AM Peak,14,60
At Work,DC,MANHATTAN,WHR,Other,14,60
At Work,DC,NON-NYC,MANHATTAN,AM Peak,13,35
At Work,DC,NON-NYC,MANHATTAN,Other,13,35
